timestamp,latency_ms,throughput_mbps,packet_loss_pct,jitter_ms,connections
2024-01-01 00:00:00,12,950,0.1,2,142
2024-01-01 00:00:05,14,945,0.1,2,140
2024-01-01 00:00:10,13,960,0.0,2,138
2024-01-01 00:00:15,15,940,0.2,3,145
2024-01-01 00:00:20,11,970,0.1,2,141
2024-01-01 00:00:25,13,955,0.1,2,143
2024-01-01 00:00:30,12,948,0.0,2,139
2024-01-01 00:00:35,16,935,0.2,3,144
2024-01-01 00:00:40,14,962,0.1,2,140
2024-01-01 00:00:45,13,950,0.1,2,142
2024-01-01 00:00:50,12,955,0.0,2,141
2024-01-01 00:00:55,15,943,0.1,2,143
2024-01-01 00:01:00,14,952,0.2,3,140
2024-01-01 00:01:05,13,960,0.1,2,138
2024-01-01 00:01:10,12,948,0.0,2,142
2024-01-01 00:01:15,11,965,0.1,2,145
2024-01-01 00:01:20,13,952,0.1,2,141
2024-01-01 00:01:25,15,940,0.2,3,143
2024-01-01 00:01:30,14,958,0.1,2,140
2024-01-01 00:01:35,12,962,0.0,2,139
2024-01-01 00:01:40,13,950,0.1,2,141
2024-01-01 00:01:45,16,938,0.2,3,144
2024-01-01 00:01:50,14,955,0.1,2,140
2024-01-01 00:01:55,12,965,0.0,2,142
2024-01-01 00:02:00,13,950,0.1,2,141
2024-01-01 00:02:05,15,942,0.1,2,143
2024-01-01 00:02:10,14,958,0.2,3,140
2024-01-01 00:02:15,11,968,0.1,2,138
2024-01-01 00:02:20,13,952,0.0,2,142
2024-01-01 00:02:25,12,960,0.1,2,141
2024-01-01 00:02:30,14,948,0.1,2,143
2024-01-01 00:02:35,15,945,0.2,3,140
2024-01-01 00:02:40,13,955,0.1,2,141
2024-01-01 00:02:45,12,963,0.0,2,139
2024-01-01 00:02:50,11,970,0.1,2,142
2024-01-01 00:02:55,14,950,0.1,2,145
2024-01-01 00:03:00,320,210,15.2,45,892
2024-01-01 00:03:05,345,185,18.5,52,921
2024-01-01 00:03:10,298,230,12.8,38,856
2024-01-01 00:03:15,380,160,22.1,61,934
2024-01-01 00:03:20,14,952,0.1,2,141
2024-01-01 00:03:25,13,960,0.1,2,140
2024-01-01 00:03:30,15,945,0.2,3,143
2024-01-01 00:03:35,12,965,0.0,2,139
2024-01-01 00:03:40,14,955,0.1,2,142
2024-01-01 00:03:45,13,948,0.1,2,141
2024-01-01 00:03:50,11,972,0.0,2,138
2024-01-01 00:03:55,15,942,0.2,3,144
2024-01-01 00:04:00,14,958,0.1,2,140
2024-01-01 00:04:05,12,965,0.0,2,142
2024-01-01 00:04:10,13,950,0.1,2,141
2024-01-01 00:04:15,16,938,0.2,3,143
2024-01-01 00:04:20,14,955,0.1,2,140
2024-01-01 00:04:25,12,963,0.0,2,139
2024-01-01 00:04:30,13,950,0.1,2,142
2024-01-01 00:04:35,15,943,0.1,2,141
2024-01-01 00:04:40,11,968,0.0,2,138
2024-01-01 00:04:45,14,952,0.2,3,144
2024-01-01 00:04:50,13,960,0.1,2,140
2024-01-01 00:04:55,12,948,0.0,2,142
2024-01-01 00:05:00,15,945,0.1,2,141
2024-01-01 00:05:05,14,955,0.1,2,143
2024-01-01 00:05:10,13,962,0.2,3,140
2024-01-01 00:05:15,12,970,0.0,2,139
2024-01-01 00:05:20,11,955,0.1,2,142
2024-01-01 00:05:25,15,940,0.1,2,145
2024-01-01 00:05:30,14,952,0.1,2,141
2024-01-01 00:05:35,13,965,0.2,3,143
2024-01-01 00:05:40,12,958,0.0,2,140
2024-01-01 00:05:45,11,972,0.1,2,138
2024-01-01 00:05:50,14,948,0.1,2,142
2024-01-01 00:05:55,15,942,0.2,3,141
2024-01-01 00:06:00,2,1200,0.0,1,50
2024-01-01 00:06:05,3,1180,0.0,1,48
2024-01-01 00:06:10,2,1220,0.0,1,52
2024-01-01 00:06:15,13,955,0.1,2,141
2024-01-01 00:06:20,14,948,0.1,2,143
2024-01-01 00:06:25,12,962,0.0,2,140
2024-01-01 00:06:30,15,945,0.2,3,139
2024-01-01 00:06:35,11,968,0.1,2,142
2024-01-01 00:06:40,13,952,0.1,2,141
2024-01-01 00:06:45,14,958,0.1,2,143
2024-01-01 00:06:50,12,965,0.2,3,140
2024-01-01 00:06:55,15,942,0.0,2,138
2024-01-01 00:07:00,13,955,0.1,2,142
2024-01-01 00:07:05,11,970,0.1,2,141
2024-01-01 00:07:10,14,948,0.1,2,143
2024-01-01 00:07:15,12,960,0.2,3,140
2024-01-01 00:07:20,13,952,0.0,2,139
2024-01-01 00:07:25,15,945,0.1,2,142
2024-01-01 00:07:30,14,958,0.1,2,141
2024-01-01 00:07:35,11,972,0.2,3,144
2024-01-01 00:07:40,13,950,0.1,2,140
2024-01-01 00:07:45,12,965,0.0,2,139
2024-01-01 00:07:50,15,942,0.1,2,142
2024-01-01 00:07:55,14,955,0.1,2,141
2024-01-01 00:08:00,410,145,28.3,72,1105
2024-01-01 00:08:05,395,158,25.7,68,1089
2024-01-01 00:08:10,13,952,0.1,2,141
2024-01-01 00:08:15,12,965,0.0,2,139
2024-01-01 00:08:20,14,948,0.1,2,143
2024-01-01 00:08:25,15,942,0.2,3,140
2024-01-01 00:08:30,11,968,0.1,2,138
2024-01-01 00:08:35,13,955,0.1,2,142
2024-01-01 00:08:40,14,960,0.1,2,141
2024-01-01 00:08:45,12,948,0.2,3,143
2024-01-01 00:08:50,15,945,0.0,2,140
2024-01-01 00:08:55,11,970,0.1,2,139
2024-01-01 00:09:00,13,952,0.1,2,142
2024-01-01 00:09:05,14,958,0.1,2,141
2024-01-01 00:09:10,12,965,0.2,3,143
2024-01-01 00:09:15,15,942,0.0,2,140
2024-01-01 00:09:20,11,968,0.1,2,138
2024-01-01 00:09:25,13,955,0.1,2,142
2024-01-01 00:09:30,14,950,0.1,2,141
2024-01-01 00:09:35,12,963,0.2,3,143
2024-01-01 00:09:40,15,945,0.0,2,140
2024-01-01 00:09:45,11,970,0.1,2,139
2024-01-01 00:09:50,13,952,0.1,2,142
2024-01-01 00:09:55,14,958,0.1,2,141
