timestamp,latency_ms,throughput_mbps,packet_loss_pct,jitter_ms,connections,is_anomaly,anomaly_type
2026-05-05 22:05:23.165975,12.49,668.51,0.02,1.97,118,False,none
2026-05-05 22:05:28.165975,11.97,665.94,0.03,1.37,119,False,none
2026-05-05 22:05:33.165975,11.74,644.95,0.02,1.34,122,False,none
2026-05-05 22:05:38.165975,11.93,644.22,0.02,1.37,119,False,none
2026-05-05 22:05:43.165975,11.57,687.16,0.02,1.34,118,False,none
2026-05-05 22:05:48.165975,11.84,660.05,0.02,2.05,120,False,none
2026-05-05 22:05:53.165975,13.04,651.93,0.01,1.47,119,False,none
2026-05-05 22:05:58.165975,20.0,635.73,0.3,3.0,120,True,none
2026-05-05 22:06:03.165975,28.0,605.83,0.5,4.5,114,True,none
2026-05-05 22:06:08.165975,36.0,575.93,0.7,6.0,117,True,none
2026-05-05 22:06:13.165975,44.0,546.04,0.9,7.5,124,True,none
2026-05-05 22:06:18.165975,52.0,516.14,1.1,9.0,120,True,buffer_overflow
2026-05-05 22:06:23.165975,353.7,266.5,10.61,15.86,118,True,buffer_overflow
2026-05-05 22:06:28.165975,377.94,266.54,7.26,12.22,123,True,buffer_overflow
2026-05-05 22:06:33.165975,389.71,266.58,7.1,8.77,122,True,buffer_overflow
2026-05-05 22:06:38.165975,335.81,266.62,4.87,11.99,121,True,buffer_overflow
2026-05-05 22:06:43.165975,403.15,266.66,9.36,14.96,113,True,buffer_overflow
2026-05-05 22:06:48.165975,316.8,266.7,10.37,19.9,120,True,buffer_overflow
2026-05-05 22:06:53.165975,281.7,266.75,4.21,15.98,124,True,buffer_overflow
2026-05-05 22:06:58.165975,301.18,266.79,5.76,25.57,116,True,buffer_overflow
2026-05-05 22:07:03.165975,308.17,266.83,4.42,17.45,115,True,buffer_overflow
2026-05-05 22:07:08.165975,354.56,266.87,9.47,12.55,117,True,buffer_overflow
2026-05-05 22:07:13.165975,366.38,266.91,11.14,16.19,120,True,buffer_overflow
2026-05-05 22:07:18.165975,309.05,266.95,7.78,8.68,120,True,buffer_overflow
2026-05-05 22:07:23.165975,345.68,266.99,11.11,15.72,117,True,buffer_overflow
2026-05-05 22:07:28.165975,334.01,267.04,6.11,20.57,120,True,buffer_overflow
2026-05-05 22:07:33.165975,359.48,267.08,8.41,15.97,118,True,buffer_overflow
2026-05-05 22:07:38.165975,330.49,267.12,8.3,24.54,115,True,none
2026-05-05 22:07:43.165975,11.38,632.17,0.02,1.07,121,False,none
2026-05-05 22:07:48.165975,11.48,679.18,0.02,1.49,118,False,none
2026-05-05 22:07:53.165975,12.59,675.82,0.02,1.81,120,False,none
2026-05-05 22:07:58.165975,11.87,669.77,0.02,1.35,126,False,none
2026-05-05 22:08:03.165975,11.92,647.1,0.02,1.61,117,False,none
2026-05-05 22:08:08.165975,11.58,688.63,0.02,1.59,115,False,none
2026-05-05 22:08:13.165975,12.27,695.16,0.02,1.26,121,False,none
2026-05-05 22:08:18.165975,20.01,638.63,0.3,3.0,118,True,none
2026-05-05 22:08:23.165975,28.01,608.73,0.5,4.5,121,True,none
2026-05-05 22:08:28.165975,36.01,578.83,0.7,6.0,121,True,none
2026-05-05 22:08:33.165975,44.01,548.94,0.9,7.5,124,True,none
2026-05-05 22:08:38.165975,52.01,519.04,1.1,9.0,120,True,ddos
2026-05-05 22:08:43.165975,444.21,43.21,14.3,1.04,2975,True,ddos
2026-05-05 22:08:48.165975,474.18,33.36,15.98,0.94,3017,True,ddos
2026-05-05 22:08:53.165975,456.15,38.51,14.6,1.8,2984,True,ddos
2026-05-05 22:08:58.165975,495.56,40.54,10.5,1.77,2994,True,ddos
2026-05-05 22:09:03.165975,538.17,41.12,18.55,1.5,3001,True,ddos
2026-05-05 22:09:08.165975,548.52,56.76,15.96,1.33,2989,True,ddos
2026-05-05 22:09:13.165975,371.65,43.78,22.99,1.55,2966,True,ddos
2026-05-05 22:09:18.165975,463.03,52.44,13.93,1.71,2991,True,ddos
2026-05-05 22:09:23.165975,525.02,43.13,12.69,1.82,2974,True,ddos
2026-05-05 22:09:28.165975,485.07,35.61,12.1,1.48,2976,True,ddos
2026-05-05 22:09:33.165975,387.68,44.66,9.93,2.12,3006,True,ddos
2026-05-05 22:09:38.165975,422.6,45.8,14.41,1.39,2984,True,none
2026-05-05 22:09:43.165975,12.56,652.74,0.02,1.31,118,False,none
2026-05-05 22:09:48.165975,11.32,687.04,0.02,0.8,121,False,none
2026-05-05 22:09:53.165975,12.73,659.58,0.01,1.31,117,False,none
2026-05-05 22:09:58.165975,12.3,690.59,0.03,1.59,118,False,none
2026-05-05 22:10:03.165975,10.83,660.35,0.02,1.68,124,False,none
2026-05-05 22:10:08.165975,11.47,683.25,0.02,1.33,116,False,none
2026-05-05 22:10:13.165975,13.17,669.93,0.02,1.15,117,False,none
2026-05-05 22:10:18.165975,20.01,641.11,0.3,3.0,122,True,none
2026-05-05 22:10:23.165975,28.01,611.22,0.5,4.5,124,True,none
2026-05-05 22:10:28.165975,36.01,581.32,0.7,6.0,114,True,none
2026-05-05 22:10:33.165975,44.01,551.42,0.9,7.5,120,True,none
2026-05-05 22:10:38.165975,52.01,521.53,1.1,9.0,118,True,ddos
2026-05-05 22:10:43.165975,425.46,48.0,15.65,1.23,3008,True,ddos
2026-05-05 22:10:48.165975,476.1,40.19,15.95,1.28,3028,True,ddos
2026-05-05 22:10:53.165975,458.96,43.08,17.35,1.54,3010,True,ddos
2026-05-05 22:10:58.165975,408.9,40.67,18.87,1.5,2999,True,ddos
2026-05-05 22:11:03.165975,509.14,35.85,13.42,1.6,2997,True,ddos
2026-05-05 22:11:08.165975,426.51,33.86,15.16,0.92,3033,True,ddos
2026-05-05 22:11:13.165975,522.34,34.22,9.56,1.45,3002,True,ddos
2026-05-05 22:11:18.165975,387.32,35.98,12.75,1.7,2958,True,ddos
2026-05-05 22:11:23.165975,425.65,35.84,16.48,0.88,3045,True,ddos
2026-05-05 22:11:28.165975,488.47,36.11,13.16,1.33,2997,True,ddos
2026-05-05 22:11:33.165975,464.0,40.22,10.88,1.5,2982,True,ddos
2026-05-05 22:11:38.165975,451.87,36.89,10.43,1.14,2965,True,ddos
2026-05-05 22:11:43.165975,511.29,41.16,9.3,1.34,2999,True,ddos
2026-05-05 22:11:48.165975,419.84,37.66,10.96,1.14,3043,True,ddos
2026-05-05 22:11:53.165975,428.95,38.23,8.49,1.42,2994,True,ddos
2026-05-05 22:11:58.165975,479.13,39.36,13.88,1.64,2967,True,ddos
2026-05-05 22:12:03.165975,363.03,44.97,16.47,1.48,3032,True,none
2026-05-05 22:12:08.165975,11.21,667.12,0.01,1.39,119,False,none
2026-05-05 22:12:13.165975,11.24,656.3,0.02,1.01,120,False,none
2026-05-05 22:12:18.165975,11.44,668.7,0.01,1.58,115,False,none
2026-05-05 22:12:23.165975,11.01,680.89,0.02,1.09,123,False,none
2026-05-05 22:12:28.165975,11.88,664.23,0.02,1.72,125,False,none
2026-05-05 22:12:33.165975,12.44,658.83,0.02,1.86,119,False,none
2026-05-05 22:12:38.165975,12.42,653.6,0.01,1.79,121,False,none
2026-05-05 22:12:43.165975,11.62,676.11,0.02,1.26,123,False,none
2026-05-05 22:12:48.165975,12.12,701.93,0.03,1.83,117,False,none
2026-05-05 22:12:53.165975,11.49,668.08,0.02,1.48,125,False,none
2026-05-05 22:12:58.165975,13.1,660.03,0.01,1.59,127,False,none
2026-05-05 22:13:03.165975,12.02,657.04,0.01,1.47,119,False,none
2026-05-05 22:13:08.165975,13.28,692.65,0.02,1.61,121,False,none
2026-05-05 22:13:13.165975,13.12,659.22,0.03,1.77,117,False,none
2026-05-05 22:13:18.165975,12.87,704.58,0.02,1.39,127,False,none
2026-05-05 22:13:23.165975,20.02,644.95,0.3,3.0,123,True,none
2026-05-05 22:13:28.165975,28.02,615.05,0.5,4.5,119,True,none
2026-05-05 22:13:33.165975,36.02,585.15,0.7,6.0,122,True,none
2026-05-05 22:13:38.165975,44.02,555.26,0.9,7.5,122,True,none
2026-05-05 22:13:43.165975,52.02,525.36,1.1,9.0,123,True,buffer_overflow
2026-05-05 22:13:48.165975,345.32,270.19,7.8,17.43,120,True,buffer_overflow
2026-05-05 22:13:53.165975,339.1,270.23,7.07,11.12,126,True,buffer_overflow
2026-05-05 22:13:58.165975,329.86,270.27,9.1,14.02,124,True,buffer_overflow
2026-05-05 22:14:03.165975,362.02,270.31,5.77,20.29,118,True,buffer_overflow
2026-05-05 22:14:08.165975,367.51,270.35,6.5,20.92,123,True,buffer_overflow
2026-05-05 22:14:13.165975,366.74,270.39,6.48,16.43,118,True,buffer_overflow
2026-05-05 22:14:18.165975,380.94,270.43,9.6,25.12,120,True,buffer_overflow
2026-05-05 22:14:23.165975,321.09,270.48,3.86,8.66,123,True,buffer_overflow
2026-05-05 22:14:28.165975,353.91,270.52,9.01,18.26,125,True,buffer_overflow
2026-05-05 22:14:33.165975,363.31,270.56,8.29,10.18,119,True,buffer_overflow
2026-05-05 22:14:38.165975,340.81,270.6,5.21,17.57,118,True,buffer_overflow
2026-05-05 22:14:43.165975,346.46,270.64,6.48,17.3,124,True,buffer_overflow
2026-05-05 22:14:48.165975,363.32,270.68,6.78,14.74,119,True,buffer_overflow
2026-05-05 22:14:53.165975,382.71,270.72,4.81,25.59,124,True,buffer_overflow
2026-05-05 22:14:58.165975,308.49,270.77,10.06,18.63,121,True,none
2026-05-05 22:15:03.165975,12.08,671.72,0.01,1.17,120,False,none
2026-05-05 22:15:08.165975,12.77,703.28,0.01,1.7,121,False,none
2026-05-05 22:15:13.165975,11.64,675.35,0.03,1.32,122,False,none
2026-05-05 22:15:18.165975,11.54,676.7,0.01,1.42,121,False,none
2026-05-05 22:15:23.165975,11.5,665.2,0.02,1.81,121,False,none
2026-05-05 22:15:28.165975,10.33,688.43,0.03,1.92,123,False,none
2026-05-05 22:15:33.165975,20.03,647.64,0.3,3.0,121,True,none
2026-05-05 22:15:38.165975,28.03,617.74,0.5,4.5,121,True,none
2026-05-05 22:15:43.165975,36.03,587.85,0.7,6.0,122,True,none
2026-05-05 22:15:48.165975,44.03,557.95,0.9,7.5,119,True,none
2026-05-05 22:15:53.165975,52.03,528.05,1.1,9.0,122,True,ddos
2026-05-05 22:15:58.165975,353.44,50.35,12.16,1.58,3028,True,ddos
2026-05-05 22:16:03.165975,332.08,41.17,10.87,1.43,3029,True,ddos
2026-05-05 22:16:08.165975,456.53,47.22,13.06,1.34,2962,True,ddos
2026-05-05 22:16:13.165975,451.97,50.75,17.15,1.16,3001,True,ddos
2026-05-05 22:16:18.165975,428.53,40.97,17.36,1.91,3012,True,ddos
2026-05-05 22:16:23.165975,456.5,45.96,15.21,1.48,2989,True,ddos
2026-05-05 22:16:28.165975,505.15,37.84,14.51,1.42,3015,True,ddos
2026-05-05 22:16:33.165975,380.99,41.13,15.74,2.14,3008,True,ddos
2026-05-05 22:16:38.165975,512.75,41.25,20.17,1.37,2992,True,ddos
2026-05-05 22:16:43.165975,488.8,38.99,15.18,1.32,3011,True,ddos
2026-05-05 22:16:48.165975,497.09,41.76,13.71,1.59,2982,True,ddos
2026-05-05 22:16:53.165975,442.27,42.73,12.49,1.37,3002,True,ddos
2026-05-05 22:16:58.165975,489.32,31.13,17.37,1.47,3018,True,ddos
2026-05-05 22:17:03.165975,454.58,32.55,19.89,1.42,3012,True,none
2026-05-05 22:17:08.165975,11.73,676.3,0.02,1.63,123,False,none
2026-05-05 22:17:13.165975,12.25,692.25,0.03,1.19,125,False,none
2026-05-05 22:17:18.165975,11.37,666.71,0.02,1.57,120,False,none
2026-05-05 22:17:23.165975,20.03,649.92,0.3,3.0,126,True,none
2026-05-05 22:17:28.165975,28.03,620.02,0.5,4.5,115,True,none
2026-05-05 22:17:33.165975,36.03,590.12,0.7,6.0,116,True,none
2026-05-05 22:17:38.165975,44.03,560.23,0.9,7.5,121,True,none
